1,Randolf,Hele,Polygender,Pittsburgh,Pennsylvania,10/16/1992,11.81,381.93
2,Adela,Dearle,Male,Baltimore,Maryland,09/28/1982,36.25,203.03
3,Frederik,Lowdwell,Male,Buffalo,New York,10/08/1992,41.32,362.26
4,Karlen,McGeouch,Polygender,Washington,District of Columbia,06/04/1982,47.14,199.98
5,Clerc,Fitchett,Agender,Des Moines,Iowa,08/29/1994,80.43,343.35
6,Ingelbert,Laxton,Female,Indianapolis,Indiana,05/20/2016,50.19,350.91
7,Ennis,Privost,Polygender,Kansas City,Missouri,12/30/2019,72.66,293.32
8,Ethelbert,Laurence,Genderfluid,Sioux Falls,South Dakota,05/26/1998,3.16,160.92
9,Dur,Lillico,Genderfluid,Evansville,Indiana,07/22/1982,32.46,225.47
10,Jessy,Woolis,Polygender,Bozeman,Montana,02/25/2012,17.69,262.23
11,Brigg,Swallwell,Bigender,North Little Rock,Arkansas,03/28/1993,28.36,387.63
12,Leesa,MacElane,Non-binary,Simi Valley,California,04/13/1993,70.7,391.73
13,Rog,Drummer,Genderfluid,Wichita,Kansas,11/23/2009,63.86,129.42
14,Mateo,Vasyaev,Male,Birmingham,Alabama,08/26/2009,19.67,117.86
15,Pollyanna,Whal,Bigender,Shawnee Mission,Kansas,01/26/2007,82.64,237.16
16,Wilhelmine,Cricket,Male,Scottsdale,Arizona,02/06/1980,35.6,246.8
17,Mirabella,Dingsdale,Bigender,Roanoke,Virginia,02/02/2017,41.69,325.39
18,Dehlia,Hundall,Male,Miami,Florida,10/27/1997,74.55,209.45
19,Antonella,Lumber,Polygender,Greenville,South Carolina,06/22/2012,4.04,357.88
20,Fritz,Gabits,Female,Fredericksburg,Virginia,06/20/1990,47.38,248.39
21,Kasper,McIlvenny,Genderfluid,Milwaukee,Wisconsin,09/07/1995,16.77,332.17
22,Johnna,Laugheran,Polygender,Waco,Texas,09/27/2013,64.09,152.58
23,Maryanna,McKue,Genderqueer,Boise,Idaho,10/26/2006,58.56,224.33
24,Todd,Pierce,Genderfluid,Atlanta,Georgia,11/11/1993,62.57,99.7
25,Maybelle,Tasseler,Male,Durham,North Carolina,02/01/1987,39.81,395.13
26,Layne,Comer,Genderfluid,Baton Rouge,Louisiana,10/12/1985,57.81,135.94
27,Drake,Hince,Female,Columbia,Missouri,02/23/1983,2.45,103.53
28,Tessa,Martignoni,Bigender,Tucson,Arizona,11/14/1994,21.77,93.38
29,Ellynn,Bahike,Male,Baltimore,Maryland,09/08/2014,24.59,248.21
30,Devin,Verlinden,Genderqueer,Phoenix,Arizona,06/17/1982,82.26,385.18
31,Alana,Jimpson,Non-binary,Chicago,Illinois,07/14/1991,37.17,212.63
32,Jesus,Girke,Genderfluid,Tulsa,Oklahoma,09/29/1980,66.72,240.54
33,Noach,Darbey,Genderfluid,Fort Myers,Florida,06/13/1985,10.49,336.14
34,Damon,Blown,Polygender,El Paso,Texas,11/09/2003,70.23,391.78
35,Lydie,Colhoun,Genderqueer,Billings,Montana,10/22/2004,73.69,326.16
36,Charissa,Eliet,Genderfluid,Stamford,Connecticut,06/10/1988,75.95,126.56
37,Pincas,Maxwale,Agender,Sacramento,California,12/23/2006,60.45,137.02
38,Karol,Jirasek,Male,Las Vegas,Nevada,11/21/2007,65.01,265.91
39,Penrod,Ollet,Agender,Tampa,Florida,05/07/1980,37.79,150.42
40,Link,Kasbye,Female,Aiken,South Carolina,05/28/2017,55.64,333.61
41,Frans,Cereceres,Male,Hyattsville,Maryland,04/07/2000,43.38,290.05
42,Sherline,Coper,Male,Mobile,Alabama,03/11/2010,65.96,209.37
43,Lotte,Fuentes,Male,Lansing,Michigan,09/15/1986,83.09,392.77
44,Angy,Lindop,Genderqueer,Chicago,Illinois,12/24/1980,10.01,275.02
45,Gran,Doull,Polygender,Corpus Christi,Texas,07/05/2019,66.2,292.2
46,Olga,Piggens,Non-binary,Battle Creek,Michigan,09/15/1987,18.41,370.74
47,Noel,Jouannisson,Female,Sacramento,California,06/10/1986,78.89,277.28
48,Westley,Filipowicz,Male,Saint Cloud,Minnesota,04/06/2005,21.68,175.97
49,Babb,Cains,Agender,Young America,Minnesota,01/28/2003,34.8,149.03
50,Putnem,Iacobucci,Male,Saint Joseph,Missouri,05/20/2001,52.58,255.42
51,Sadie,Cracoe,Non-binary,Washington,District of Columbia,12/07/2012,64.33,326.82
52,Juliana,Beedie,Genderqueer,Omaha,Nebraska,03/15/2018,13.89,237.61
